account,migration_interest,reason,latest_notion_record,record_date,notion_stage,owner,notion_url,evidence,psa_account_status,notion_inferred_tigerpaw_status,notion_inferred_tigerpaw_reason,sf_web_migration_status,sf_web_migration_details,matched_records,used_cbr_record
"Area Wide Communications, LLC",want to migrate asap,Salesforce web migration status,Area Wide Communications- CBR,2026-06-24T17:55:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Area-Wide-Communications-CBR-389a59b7e7b280ccb946cf7249d6fc9f,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Want to migrate asap,,1,True
TDS-Phone,want to migrate / timeline unknown,Salesforce web migration status,TDS 2026-08-04T13:03:00.000-04:00,2026-08-04T17:03:00.000Z,,,https://app.notion.com/p/TDS-3b2a59b7e7b28083a0c8c811b57689d3,TDS 2026-08-04T13:03:00.000-04:00,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,Need Sage 50 integration,2,False
ASAP Security Services,want to migrate / timeline unknown,Salesforce web migration status,ASAP- Tony PSA Demo,2026-07-01T13:55:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/ASAP-Tony-PSA-Demo-390a59b7e7b280308deae45bc80b097d,"ASAP- Tony PSA Demo Reviewed discovery, identified pricing/GL rule needs, set action items, and planned next steps. 2026-07-01 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,Need pricing rules and GL rules,2,False
Teleco Wilmington,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,0,False
Peerless Energy Systems,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,08/2026 - not the right time,0,False
Parallel Synergistic Consulting,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Parallel Synergistic Consulting - CBR,2026-06-18T14:27:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Parallel-Synergistic-Consulting-CBR-383a59b7e7b280bbbf25fcb4a58d76c3,"Parallel Synergistic Consulting - CBR Discussed 5‑license pricing, demo scheduling, and next steps for web‑based platform migration. 2026-06-18 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NA…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,1,True
Hardwire Telecom,want to migrate asap,Salesforce web migration status,Hardwire Telecom - CBR,2026-06-17T17:59:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Hardwire-Telecom-CBR-382a59b7e7b2805baa7ee1f4af771548,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate asap,this is a tricky one - they want to migrate asap because they need the new technology but also had a bad unleashed experience and are a little gun shy,1,True
Augusta Communications,want to migrate / timeline unknown,Salesforce web migration status,Augusta Communications- CBR,2026-06-16T18:59:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Augusta-Communications-CBR-381a59b7e7b2806f86aac22e536fe411,"Augusta Communications- CBR Reviewed printing blocker, migration steps, action items, and next demo planning. 2026-06-16 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Please…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,,1,True
America's Phone Guys,unknown / needs review,no clear migration-intent signal found,America’s Phone Guys,2026-06-17T20:48:00.000Z,Closed Won,,https://app.notion.com/p/America-s-Phone-Guys-382a59b7e7b280779039f6cfa1a7320a,"America’s Phone Guys Reviewed data migration, pricing, kickoff scheduling, and profitability report issue. PSA Web 2026-07-15 Agenda Follow-up Tasks 2026-06-29 Agenda Follow-up Tasks 2026-06-26 Agenda Follow-up Tasks 2026-06-26 Agenda Follow-up …",Inactive,Inactive,No clear hosting signal in latest Notion notes,,,2,False
Metropolitan Telephone,want to migrate asap,Salesforce web migration status,Metropolitan Telephone- CBR,2026-06-15T17:01:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Metropolitan-Telephone-CBR-380a59b7e7b280d6aa66eb684fed8ce2,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate asap,,1,True
AVSi,want to migrate asap,Salesforce web migration status,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate asap,"07/15/2026 - LVM to Scott, followed up with an email.",0,False
IET Labs (3rd DB),want to migrate asap,Salesforce web migration status,IET Labs - CBR,2026-06-12T15:30:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/IET-Labs-CBR-37da59b7e7b2806386ebe32711fa8315,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate asap,,1,True
Xpedient Communications,unknown / needs review,no clear migration-intent signal found,xpedient,2026-06-11T20:29:00.000Z,,,https://app.notion.com/p/xpedient-37ca59b7e7b280dbadd7ff8f33d11eb1,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,as of 07/2026 there was a lack of DM involvement,1,False
Digital Telecommunications,unknown / needs review,no clear migration-intent signal found,,,,,,,,Unknown,No clear hosting signal in latest Notion notes,,,0,False
"Moseley Electronics, LLC",want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Moseley Electronics- PSA Demo,2026-06-22T14:58:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Moseley-Electronics-PSA-Demo-387a59b7e7b280f5821fd56373d50f36,"Moseley Electronics- PSA Demo Discussed PSA demo, pricing, migration scope, and next steps for fall migration. 2026-06-22 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery C…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,Focused on another project - want to re-engage in 09/2026,1,False
Harris Computer,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Harris Computer,2026-06-10T15:58:00.000Z,,,https://app.notion.com/p/Harris-Computer-37ba59b7e7b28073b766edf19bc58785,"Harris Computer Discussed migration plan, pricing, and next steps for Harris Computer. 2026-06-10 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,1,False
"Phones Plus.biz, Inc.",unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Unknown,,0,False
New England Communications,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,New England,2026-06-09T16:58:00.000Z,,,https://app.notion.com/p/New-England-37aa59b7e7b280b78866eb474df5acb8,"New England Discussed cloud migration, pricing, and set next meeting for Monday 2‑3 pm. 2026-06-09 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. P…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,1,False
Voxcom Solutions Inc,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Voxcom Solutions- CBR,2026-06-05T14:28:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Voxcom-Solutions-CBR-376a59b7e7b280de9a0ce7d758a43ec7,"Voxcom Solutions- CBR Discussed pricing, license reduction, demo setup, and migration plan. 2026-06-05 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Please help me with the follo…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,1,True
"Genie Innovations, Inc.",unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Unknown,,0,False
Audio-Video Corporation,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Elevated Audio Video,2026-07-20T13:17:00.000Z,3 - Initial Product Demo,,https://app.notion.com/p/Elevated-Audio-Video-3a3a59b7e7b28034ae1ef6ed9b05d883,"Elevated Audio Video Reviewed workflow gaps; scheduled demo for July 29 10 AM ET with Patrick, Tina, and Tim. 2026-07-29 Agenda Follow-up Tasks 2026-07-20 Agenda Follow-up Tasks Initial Product Demo @2026-07-29 10:00 AM ET Agenda Confirm current process and success…",Inactive,Inactive,No clear hosting signal in latest Notion notes,Unknown,,15,False
"Commercial Refrigeration Systems, Inc.",unknown / needs review,no clear migration-intent signal found,Commercial Refrigeration Systems - CBR,2026-05-28T14:56:00.000Z,,,https://app.notion.com/p/Commercial-Refrigeration-Systems-CBR-36ea59b7e7b280a8a500c710b933abc6,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,1,True
Unique Communications,unknown / needs review,no clear migration-intent signal found,Unique Communications - CBR,2026-05-26T18:57:00.000Z,,,https://app.notion.com/p/Unique-Communications-CBR-36ca59b7e7b2800bb63ced3c8b7f1120,"Unique Communications - CBR Reviewed action items, platform usage, and migration opportunities; scheduled next steps. 2026-05-26 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Please help me…",,Unknown,No clear hosting signal in latest Notion notes,,,2,True
Telecom Unlimited,want to migrate asap,Salesforce web migration status,Technology Unlimited,2026-06-15T15:58:00.000Z,,,https://app.notion.com/p/Technology-Unlimited-380a59b7e7b280db9a6dc0a407833bf1,"Technology Unlimited Reviewed TigerPaw migration, licensing, pricing; scheduled follow‑up Thursday 9 am. 2026-06-15 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with […",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Want to migrate asap,,3,False
Valley Lock & Security,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,0,False
Mid South Telecom Inc,unknown / needs review,no clear migration-intent signal found,Mid South Telecom - CBR,2026-05-21T16:56:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Mid-South-Telecom-CBR-367a59b7e7b28095890bc0450c94601a,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,1,True
Chortek,unknown / needs review,no clear migration-intent signal found,chortek,2026-05-21T16:00:00.000Z,,,https://app.notion.com/p/chortek-367a59b7e7b28008b4a5d7b0efb82ce6,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Unknown,,1,False
MAC'S HEATING LTD.,unknown / needs review,no clear migration-intent signal found,MAC'S HEATING - CBR,2026-05-19T19:28:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/MAC-S-HEATING-CBR-365a59b7e7b2809cb24fd2e7bbfb3e3c,"MAC'S HEATING - CBR Discovery call recap: client review, integration needs, migration timeline, and next steps. 2026-05-19 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Please help me with the f…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,1,True
B. Moyer Radio Communications LLC,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Migration in progress,,0,False
Technology System Consultants,unknown / needs review,no clear migration-intent signal found,The Tech Consultants,2026-04-08T18:01:00.000Z,Closed Lost,Jamie Butler,https://app.notion.com/p/The-Tech-Consultants-33ca59b7e7b280529190dc591c9e65c8,"…onsultants Discovery call covering current tech stack, pain points, Rev.io overview, next demo planning. PSA Web 2026-04-08 Discovery Call Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Please help me with the…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,2,False
Grennan Communications,unknown / needs review,no clear migration-intent signal found,Grennan,2026-05-15T18:18:00.000Z,,,https://app.notion.com/p/Grennan-361a59b7e7b2801b8fb8fb1ac0006402,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,1,False
Computer World Inc,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,0,False
IMC Facility Management,want to migrate asap,Salesforce web migration status,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate asap,,0,False
Thomas Electronics Inc,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,0,False
"Accurate Security Pros, Inc.",do not want to migrate,Salesforce web migration status,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Do not want to migrate,"Spoke with Richard who said he is ""leary"" of Web and said the owner is not interested in switching.",0,False
"United Security Communications, Inc.",unknown / needs review,no clear migration-intent signal found,United Security Communications- CBR,2026-05-15T17:28:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/United-Security-Communications-CBR-361a59b7e7b280d8a450dd98fc0fae46,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,"07/07/2026 - Left a message through an employee about the PSA web, followed up with an email.",1,True
"Nutec Systems, Inc",unknown / needs review,no clear migration-intent signal found,Nutec Systems- CBR,2026-05-12T14:59:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Nutec-Systems-CBR-35ea59b7e7b280f6a361f85779148fa4,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,1,True
Infrastructure Technology Solutions,want to migrate asap,Salesforce web migration status,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate asap,,0,False
